station_id,name,lat,lon,capacity
491,Brugata,59.91366109486603,10.75729364846211,18
493,Sofienbergparken nordvest,59.9243639,10.7615858,30
410,Landstads gate,59.929005,10.7496755,27
605,Økernveien,59.917023632719406,10.779880090762617,18
388,Skovveien,59.9163309,10.716349,18
591,Grenseveien,59.92464487862039,10.781726510450724,24
592,Badebakken,59.94558091179507,10.760323881579982,18
585,Nordre gate,59.92114988507087,10.754714015938562,18
565,Mailundveien,59.9309181,10.7728203,18
571,Over Rådhusgata,59.9101207,10.7407129,21
568,Frognerveien,59.9170851,10.7128796,15
588,Meltzers gate,59.9180141,10.7184345,21
584,Henrik Wergelands allé,59.9268942,10.7207894,35
569,Botanisk hage sør-vest,59.91783548782385,10.766373769557958,30
577,Arkaden Nord,59.9121472,10.7480527,30
564,Oscars gate,59.9224222,10.7272388,30
570,Frøen T-bane,59.9347352,10.7096985,15
572,Skøyen,59.92226850808104,10.679579749668129,40
587,Riddervoldplass,59.9191421,10.7196414,15
586,Københavngata busstopp,59.9294565845173,10.769121495700826,27
576,Dronningens gate,59.911392299457006,10.747281829592453,18
566,Hoff terrasse holdeplass,59.92735028853744,10.675358878141424,24
602,Jarlsborgveien,59.930448367431495,10.675795947855363,18
575,Sognsveien,59.94743324225673,10.732569703704815,30
567,Forskningsveien,59.945450633702556,10.713867957672134,39
582,Stavangergata,59.94114763297182,10.750775120272449,30
595,Skarpsnoparken,59.914871,10.701037,24
542,Grünerhagen Nord,59.9224256,10.7554274,20
563,Huitfeldts gate,59.9126844,10.7229003,18
558,Dokkveien,59.910974,10.7277001,15
552,Trelastgata,59.90792335394997,10.762664918094174,18
555,Griffenfeldts gate,59.9337026,10.7519299,15
573,Tordenskiolds gate,59.911776299209265,10.735113005880237,24
561,Kirkeveien,59.93347989334691,10.726294394131088,24
615,Munkedamsveien,59.9135227,10.7301061,21
543,Fyrstikktorget,59.91381587564694,10.798093360118871,20
554,Tåsen Senter,59.952615806973114,10.751224444725295,21
574,Annette Thommessens Plass,59.9107393,10.7609998,12
560,Gaustad T-bane,59.94595873686865,10.7104318614318,9
548,Colbjørnsens gate,59.91731888534716,10.716909039918278,18
559,Hoffsveien,59.9238488076723,10.676038846936422,18
545,Arkaden Sør,59.91188955934541,10.747774569135402,39
550,Thereses gate,59.9261462,10.7310355,9
541,Langkaia,59.9080552,10.7479977,12
527,Biskop Gunnerus' gate,59.9123341,10.752292,12
529,Friggfeltet,59.9327726,10.7114661,21
526,Lille Grensen,59.9138973,10.7423101,15
537,St. Olavs gate,59.91780874269165,10.738664052059619,20
547,Skippergata,59.9112227,10.7481976,30
601,Rolf Wickstrøms vei,59.9534114,10.7577241,20
533,Sørvest for Slottsparken,59.915262,10.7253157,12
535,Uranienborgveien,59.9200421,10.726634,27
524,Volvat,59.93306277703957,10.7039612051301,21
519,Thomas Heftyes plass,59.918578143336774,10.703899530059402,24
534,Filipstadveien,59.91022708810348,10.720971630915614,39
521,Jess Carlsens gate,59.9186359,10.7523939,15
518,Schwensens gate,59.92481470756533,10.739355810852345,18
556,Pilestredet,59.9262242,10.7296246,18
525,Myraløkka Øst,59.937205,10.7605813,15
517,Tåsenløkka,59.9433939,10.7482848,18
523,Tøyenbekken,59.9115945,10.7617736,30
522,Mandalls gate,59.9123469,10.7638147,10
594,Kampen park Øst,59.915182,10.782129,21
532,Brynseng T-bane,59.90918420865812,10.81431433498766,21
509,Kjeld Stubs gate,59.912711,10.735595,12
531,Monolittveien,59.93586793735034,10.681128349723906,18
536,Diakonhjemmet,59.936302037310725,10.705449311057379,10
562,Slottsparken Øst,59.917485,10.732128,40
511,Henrik Ibsens gate,59.915088,10.7222803,24
505,Marienlystparken,59.93209525310027,10.723364916539367,24
501,Krebs' gate,59.935995,10.765413,18
514,Sofienberggata,59.9212063,10.7699892,12
500,Anker Hotel,59.9172794,10.7581553,18
503,Fagerheimgata,59.927605868377185,10.76598469881135,33
513,Bøkkerveien,59.9273747,10.7960147,15
498,HasleLinje,59.927601526969,10.799203208176777,12
507,Jens Bjelkes Gate,59.91914743024347,10.76412958416006,20
512,Ensjø T-bane,59.9131891,10.7897605,30
619,Bak Niels Treschows hus nord,59.942780248542554,10.722993731144015,42
474,Blindern studentparkering,59.940873733543725,10.720778851520523,42
580,Georg Morgenstiernes hus,59.939025551395765,10.723002619643406,45
496,Fysikkbygningen,59.937957367051965,10.719488529430388,45
482,Nydalen,59.952868,10.766483,18
407,Sagene bussholdeplass,59.937743,10.751648,15
409,John Colletts plass,59.940398,10.730036,25
451,Suhms gate,59.929419,10.726195,21
402,Lørenveien,59.93087712510462,10.791823716034969,21
516,Finnmarksgata,59.922839,10.775658,15
625,Spikersuppa Øst,59.91336,10.737663,42
429,Thune,59.92208,10.68588,21
380,Bentsebrugata,59.93923,10.75917,24
583,Galgeberg,59.90707579234818,10.779164402446728,18
398,Ringnes Park,59.92843404417577,10.75943014633117,18
381,Grønlands torg,59.91252,10.76224,15
464,Sukkerbiten,59.9051667124711,10.753782728070433,44
442,Vulkan,59.92251,10.75101,18
483,Hausmanns gate,59.915451,10.758328,21
458,Jenny Braatens Plass,59.928349,10.77837,15
499,Bjerregaards gate,59.925488,10.746058,21
472,Arendalsgata,59.9378,10.7541,24
506,Botanisk Hage vest,59.92012811804052,10.768875408563598,27
465,Bjørvika,59.909006,10.75618,30
611,Bankplassen,59.908454,10.741869,39
404,Oslo Handelsgymnasium,59.914306,10.720202,27
579,Bogstadveien,59.924732,10.724628,18
589,Huk 1,59.89851335112289,10.674409149852835,27
434,Lindern,59.9358883,10.7350062,21
462,Stensparken,59.92714,10.730981,15
578,Hallings gate,59.922777,10.738655,24
415,Sinsenveien,59.929542,10.781053,12
423,Schous plass,59.920335,10.760804,20
412,Jakob kirke,59.917866,10.754898,9
387,Studenterlunden,59.914586,10.735453,15
441,Vippetangen øst,59.903989,10.741077,15
454,Furulund,59.9198098,10.651118,24
436,Vestkanttorvet,59.9244031,10.7130691,15
394,Bjølsen Studentby,59.943777539367225,10.760121127577955,21
497,Sirkustomta,59.919252,10.774712,27
581,Jordalgata,59.908227,10.781088,24
461,Vålerenga,59.908576,10.786856,21
599,Paléhaven,59.910319910943485,10.749992946324426,48
428,Olav Kyrres plass,59.9193337,10.6968953,24
400,OsloMet,59.919927,10.735428,25
487,Carl Berners plass nord,59.926929,10.776971,21
438,BI Nydalen,59.949239,10.768576,42
459,Valkyrieplassen,59.9281319,10.71842,12
433,Ila,59.931828,10.748745,18
399,Uelands gate,59.929545,10.7489862,36
489,Torggata,59.91598309274519,10.75155119076095,30
742,Hasle,59.924342,10.79285,30
551,Olaf Ryes plass,59.922425,10.758182,35
406,Carl Berners plass sør,59.92507,10.775996,12
488,Torshovparken vest,59.93507,10.76915,24
540,Lilleborgbanen,59.93363159074286,10.769118139881124,36
431,Chr. Michelsens Gate,59.927292,10.773185,20
393,Hans Nielsen Hauges plass,59.939244,10.774319,21
420,Bjølsendumpa,59.94032925181832,10.766136667493829,21
397,Storo Storsenter,59.94671044754387,10.773805285879131,36
390,Saga Kino,59.91424026794647,10.732771354719745,30
449,Ruseløkkgården,59.91357497092093,10.726229742333288,24
430,Spikersuppa Vest,59.91372007130073,10.735886645853412,42
484,Karenslyst allé,59.92033,10.683814,35
479,Tjuvholmen,59.909467,10.722509,30
403,Parkveien,59.921768,10.730476,15
435,Fram-gården,59.915424,10.714577,30
426,Gimle Kino,59.91728078292675,10.708375798767435,21
450,Elisenberg,59.919524,10.70884,15
456,Frognerstranda,59.9103558,10.7051061,35
468,Skillebekk,59.912793405455375,10.710103028570302,15
453,Frogner Stadion,59.92753764682686,10.710262803261259,36
